iteration,latency (ms),total number of bytes sent,total number of bytes recv,tokens per expert
77,3.3135359287261963,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
78,3.333631992340088,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
79,3.2997119426727295,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
80,3.313920021057129,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
81,3.332736015319824,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
82,3.323551893234253,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
83,3.29203200340271,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
84,3.3168959617614746,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
85,3.2919039726257324,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
86,3.3150720596313477,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
87,3.3153600692749023,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
88,3.3004798889160156,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
89,3.3282558917999268,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
90,3.2980799674987793,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
91,3.3253440856933594,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
92,3.299168109893799,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
93,3.312959909439087,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
94,3.337088108062744,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
95,3.3323841094970703,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
96,3.3066558837890625,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
97,3.3013761043548584,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
98,3.310688018798828,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
99,3.337631940841675,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
100,3.299488067626953,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
101,3.304960012435913,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
102,3.3000640869140625,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
