iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,5.523871898651123,4608096,3072096
1,4.365407943725586,4608096,3072096
2,4.291903972625732,4608096,3072096
3,4.310592174530029,4608096,3072096
4,4.258912086486816,4608096,3072096
5,4.269184112548828,4608096,3072096
6,4.629983901977539,4608096,3072096
7,4.3368000984191895,4608096,3072096
8,4.275680065155029,4608096,3072096
9,4.347936153411865,4608096,3072096
10,4.303103923797607,4608096,3072096
11,5.898208141326904,4608096,3072096
12,4.342144012451172,4608096,3072096
13,4.269631862640381,4608096,3072096
14,4.350399971008301,4608096,3072096
15,4.421951770782471,4608096,3072096
16,4.300447940826416,4608096,3072096
17,4.322495937347412,4608096,3072096
18,4.3363518714904785,4608096,3072096
19,4.371776103973389,4608096,3072096
20,4.312672138214111,4608096,3072096
21,4.264736175537109,4608096,3072096
22,4.26643180847168,4608096,3072096
23,4.297152042388916,4608096,3072096
24,4.312448024749756,4608096,3072096
25,4.54307222366333,4608096,3072096
26,4.263807773590088,4608096,3072096
27,4.376895904541016,4608096,3072096
28,4.371935844421387,4608096,3072096
29,4.3072638511657715,4608096,3072096
30,4.3151679039001465,4608096,3072096
31,5.420383930206299,4608096,3072096
32,4.371551990509033,4608096,3072096
33,4.5763840675354,4608096,3072096
34,4.320191860198975,4608096,3072096
35,4.285855770111084,4608096,3072096
36,4.422304153442383,4608096,3072096
37,4.32966423034668,4608096,3072096
38,4.262303829193115,4608096,3072096
39,4.255072116851807,4608096,3072096
40,4.290624141693115,4608096,3072096
41,4.398911952972412,4608096,3072096
42,4.232480049133301,4608096,3072096
43,4.265791893005371,4608096,3072096
44,4.363743782043457,4608096,3072096
45,4.283679962158203,4608096,3072096
46,4.265952110290527,4608096,3072096
47,4.319808006286621,4608096,3072096
48,4.425920009613037,4608096,3072096
49,4.28275203704834,4608096,3072096
50,4.295104026794434,4608096,3072096
51,4.463712215423584,4608096,3072096
52,4.407135963439941,4608096,3072096
53,4.265727996826172,4608096,3072096
54,4.521056175231934,4608096,3072096
55,4.27177619934082,4608096,3072096
56,4.239136219024658,4608096,3072096
57,4.280704021453857,4608096,3072096
58,4.334911823272705,4608096,3072096
59,4.314335823059082,4608096,3072096
60,4.285632133483887,4608096,3072096
61,4.259007930755615,4608096,3072096
62,4.281599998474121,4608096,3072096
63,4.258368015289307,4608096,3072096
64,4.360320091247559,4608096,3072096
65,4.432735919952393,4608096,3072096
66,4.306272029876709,4608096,3072096
67,4.283071994781494,4608096,3072096
68,4.290272235870361,4608096,3072096
69,4.485536098480225,4608096,3072096
70,4.3504638671875,4608096,3072096
71,4.41107177734375,4608096,3072096
72,4.313536167144775,4608096,3072096
73,4.276544094085693,4608096,3072096
74,4.333568096160889,4608096,3072096
75,4.391776084899902,4608096,3072096
76,12.9716796875,4608096,3072096
77,16.896575927734375,4608096,3072096
78,13.45251178741455,4608096,3072096
79,4.273280143737793,4608096,3072096
80,4.361855983734131,4608096,3072096
81,4.346399784088135,4608096,3072096
82,4.590271949768066,4608096,3072096
83,4.237696170806885,4608096,3072096
84,4.284319877624512,4608096,3072096
85,12.004447937011719,4608096,3072096
86,4.378431797027588,4608096,3072096
87,4.303391933441162,4608096,3072096
88,4.245471954345703,4608096,3072096
89,6.208064079284668,4608096,3072096
90,4.211264133453369,4608096,3072096
91,4.306272029876709,4608096,3072096
92,4.501344203948975,4608096,3072096
93,4.213183879852295,4608096,3072096
94,4.315968036651611,4608096,3072096
95,4.238048076629639,4608096,3072096
96,4.84611177444458,4608096,3072096
97,4.249504089355469,4608096,3072096
98,4.310239791870117,4608096,3072096
99,4.204448223114014,4608096,3072096
