iteration,latency (s)
0,0.8811311721801758
1,1.0552372932434082
2,0.8483154773712158
3,0.8696696758270264
4,0.8775150775909424
5,0.9008946418762207
6,0.8835880756378174
7,0.8916347026824951
8,0.8980085849761963
9,0.9192488193511963
10,0.8688552379608154
11,0.900139570236206
12,1.0066094398498535
13,0.8767561912536621
14,0.880141019821167
15,0.8907127380371094
16,0.8848373889923096
17,0.8826620578765869
18,0.9006505012512207
19,0.8736035823822021
20,0.8691246509552002
21,0.8586146831512451
22,1.0039842128753662
23,0.858877420425415
24,0.8641040325164795
25,1.1081962585449219
26,0.8783795833587646
27,0.8881137371063232
28,0.87516188621521
29,0.8780221939086914
30,0.856022834777832
31,0.8524878025054932
32,0.8435132503509521
33,0.8516218662261963
34,0.83868408203125
35,0.8587934970855713
36,0.9120287895202637
37,0.8577594757080078
38,0.9923257827758789
39,0.8748533725738525
40,0.8633322715759277
41,0.8629777431488037
42,0.8484959602355957
43,0.8497648239135742
44,1.0332510471343994
45,0.8616702556610107
46,0.8607642650604248
47,0.8565120697021484
48,0.8607733249664307
49,0.8751952648162842
50,0.8813977241516113
51,0.990431547164917
52,0.8463618755340576
53,0.8801798820495605
54,0.9023315906524658
55,0.8700509071350098
56,1.4861702919006348
57,0.8563811779022217
58,1.1805768013000488
59,0.8564982414245605
60,0.8568527698516846
61,0.8770043849945068
62,0.8639059066772461
63,0.8583378791809082
64,0.87992262840271
65,1.112914800643921
66,0.8476839065551758
67,0.8458614349365234
68,0.8553962707519531
69,0.8642258644104004
70,0.8726742267608643
71,0.8952908515930176
72,1.0344748497009277
73,0.8775498867034912
74,0.8626871109008789
75,0.8407230377197266
76,0.8528029918670654
77,0.8585000038146973
78,0.8672864437103271
79,0.8621187210083008
80,0.8687059879302979
81,0.8637988567352295
82,0.8648331165313721
83,0.8626446723937988
84,0.8501508235931396
85,0.8568370342254639
86,1.030942440032959
87,0.8714139461517334
88,0.8827152252197266
89,0.8725154399871826
90,0.8480546474456787
91,0.85841965675354
92,0.8668673038482666
93,0.9892842769622803
94,0.8677146434783936
95,0.8619914054870605
96,0.8733644485473633
97,0.8624043464660645
98,0.8685653209686279
99,1.0344154834747314
