iteration,latency (ms)
0,4.71395206451416
1,4.347008228302002
2,4.227263927459717
3,4.287360191345215
4,4.2711358070373535
5,4.316991806030273
6,4.368351936340332
7,4.25216007232666
8,4.216896057128906
9,7.222911834716797
10,4.47324800491333
11,4.420544147491455
12,4.919424057006836
13,4.250783920288086
14,5.038144111633301
15,4.203680038452148
16,5.163455963134766
17,4.212736129760742
18,5.84662389755249
19,4.390848159790039
20,4.395264148712158
21,4.1945600509643555
22,4.18998384475708
23,5.123295783996582
24,4.392735958099365
25,4.215616226196289
26,4.296288013458252
27,4.187456130981445
28,4.364448070526123
29,4.203135967254639
30,4.311200141906738
31,4.294591903686523
32,4.375999927520752
33,4.22979211807251
34,4.212639808654785
35,4.370304107666016
36,5.558688163757324
37,5.3191680908203125
38,4.592095851898193
39,4.1802239418029785
40,4.158271789550781
41,4.170112133026123
42,4.707007884979248
43,4.1623358726501465
44,4.289535999298096
45,4.423871994018555
46,4.444479942321777
47,4.241983890533447
48,4.215519905090332
49,4.2600321769714355
50,4.3297600746154785
51,5.840447902679443
52,4.550559997558594
53,4.1750078201293945
54,4.2302398681640625
55,4.26361608505249
56,4.196159839630127
57,4.827871799468994
58,5.37721586227417
59,4.527584075927734
60,4.264575958251953
61,4.196288108825684
62,4.441919803619385
63,4.191232204437256
64,4.431136131286621
65,4.657983779907227
66,4.183712005615234
67,4.369855880737305
68,4.926591873168945
69,4.89631986618042
70,4.175519943237305
71,4.731616020202637
72,4.20854377746582
73,4.339136123657227
74,4.236832141876221
75,4.38592004776001
76,4.353248119354248
77,4.213696002960205
78,4.215616226196289
79,4.190080165863037
80,4.183263778686523
81,4.511712074279785
82,4.229568004608154
83,4.477280139923096
84,4.38972806930542
85,4.930463790893555
86,4.521791934967041
87,4.220128059387207
88,4.227136135101318
89,4.623968124389648
90,4.1836161613464355
91,4.166975975036621
92,4.148767948150635
93,4.191808223724365
94,4.850016117095947
95,5.107679843902588
96,4.2008957862854
97,4.423583984375
98,4.303135871887207
99,4.231296062469482
