iteration,latency (ms)
0,313.7824401855469
1,314.6460876464844
2,314.9507141113281
3,313.79278564453125
4,314.02276611328125
5,314.041015625
6,313.86810302734375
7,314.75347900390625
8,313.9458923339844
9,314.529052734375
10,314.6864013671875
11,314.39794921875
12,314.02252197265625
13,314.0766296386719
14,313.9500732421875
15,314.1245422363281
16,314.1251220703125
17,314.4749755859375
18,314.0029296875
19,314.4882507324219
20,313.8971862792969
21,314.02294921875
22,314.23187255859375
23,314.1161193847656
24,314.7720947265625
25,313.7732849121094
26,313.9666748046875
27,313.8042297363281
28,314.2587585449219
29,313.6848449707031
30,313.9223327636719
31,314.146240234375
32,314.1051940917969
33,314.53082275390625
34,314.47491455078125
35,314.0944519042969
36,314.4725341796875
37,313.8822326660156
38,314.31549072265625
39,313.9010925292969
40,313.86798095703125
41,314.11468505859375
42,313.939453125
43,314.4504089355469
44,314.2731018066406
45,314.341064453125
46,313.33746337890625
47,314.6772766113281
48,313.9590759277344
49,314.2593994140625
50,314.365966796875
51,314.18255615234375
52,314.4322509765625
53,314.42584228515625
54,314.40423583984375
55,314.8534851074219
56,314.70184326171875
57,314.63385009765625
58,314.0329284667969
59,314.4598083496094
60,314.5626220703125
61,314.2572937011719
62,314.4844665527344
63,314.6525573730469
64,314.2695617675781
65,313.8436584472656
66,314.3699645996094
67,313.7452697753906
68,313.7482604980469
69,314.46307373046875
70,314.2080993652344
71,314.43084716796875
72,314.013671875
73,314.27105712890625
74,314.099609375
75,313.60833740234375
76,314.3630676269531
77,314.1768493652344
78,314.7226867675781
79,314.1328125
80,314.4263000488281
81,314.13592529296875
82,314.62908935546875
83,314.31805419921875
84,314.5681457519531
85,314.56866455078125
86,314.41888427734375
87,314.2442321777344
88,313.7352600097656
89,314.8606262207031
90,314.1601257324219
91,314.6265869140625
92,313.6571350097656
93,314.1267395019531
94,314.48944091796875
95,313.93035888671875
96,314.2768249511719
97,313.93463134765625
98,313.91180419921875
99,314.5519104003906
