iteration,latency (ms)
0,313.29669189453125
1,313.63525390625
2,313.1159973144531
3,313.24676513671875
4,313.86346435546875
5,312.9101867675781
6,313.08697509765625
7,313.0770568847656
8,313.1051330566406
9,313.0873107910156
10,313.48333740234375
11,313.4294738769531
12,312.6474609375
13,313.57769775390625
14,313.5130310058594
15,312.6583557128906
16,313.0674743652344
17,313.0040588378906
18,313.142822265625
19,312.678955078125
20,313.08111572265625
21,313.07916259765625
22,312.9083251953125
23,313.33551025390625
24,313.2028503417969
25,313.4556579589844
26,313.3985595703125
27,313.2037353515625
28,313.3742980957031
29,313.1939392089844
30,312.88360595703125
31,313.03057861328125
32,313.3843688964844
33,313.2471618652344
34,312.6475830078125
35,312.9711608886719
36,312.97052001953125
37,312.7859802246094
38,313.4415588378906
39,313.6148681640625
40,313.4112243652344
41,313.094482421875
42,312.7203369140625
43,312.4359130859375
44,312.8583068847656
45,313.4409484863281
46,313.4060363769531
47,312.8553771972656
48,313.3075866699219
49,313.4164733886719
50,313.7515563964844
51,313.289306640625
52,313.2543640136719
53,313.322509765625
54,313.3100280761719
55,313.28973388671875
56,313.02032470703125
57,313.6014709472656
58,313.0637512207031
59,313.1408996582031
60,313.1500244140625
61,313.34344482421875
62,313.5780334472656
63,313.1567077636719
64,312.618408203125
65,313.9092712402344
66,313.5963439941406
67,313.6606140136719
68,313.16070556640625
69,312.7991027832031
70,313.4640808105469
71,312.93243408203125
72,313.2933044433594
73,313.1265563964844
74,313.0878601074219
75,313.0614929199219
76,313.495361328125
77,313.1084899902344
78,313.4031066894531
79,312.9563903808594
80,313.377685546875
81,313.0282287597656
82,313.8348388671875
83,312.8870849609375
84,314.0238342285156
85,313.60394287109375
86,313.403564453125
87,313.6263122558594
88,313.1570739746094
89,313.613525390625
90,313.46905517578125
91,312.9665832519531
92,313.4292907714844
93,313.36407470703125
94,312.7783508300781
95,313.2837829589844
96,313.2939147949219
97,313.17108154296875
98,313.2668151855469
99,313.40869140625
