iteration,latency (ms)
0,177.47718811035156
1,177.71434020996094
2,177.62278747558594
3,177.42124938964844
4,177.3924102783203
5,178.08038330078125
6,177.83433532714844
7,177.6308135986328
8,177.8091583251953
9,177.84950256347656
10,177.84649658203125
11,177.4752960205078
12,178.26502990722656
13,177.98838806152344
14,179.91567993164062
15,177.21926879882812
16,177.65122985839844
17,177.76319885253906
18,177.67491149902344
19,177.73887634277344
20,177.65647888183594
21,177.4014434814453
22,177.46742248535156
23,177.85162353515625
24,177.72898864746094
25,177.04173278808594
26,177.36044311523438
27,178.9055633544922
28,177.33126831054688
29,177.6812744140625
30,177.35708618164062
31,178.19955444335938
32,177.65341186523438
33,178.3053436279297
34,177.24415588378906
35,177.75369262695312
36,177.6694793701172
37,177.59170532226562
38,177.27984619140625
39,177.82000732421875
40,178.0914306640625
41,177.63296508789062
42,177.49095153808594
43,177.45840454101562
44,177.56349182128906
45,177.5689239501953
46,178.6887664794922
47,177.87564086914062
48,177.57369995117188
49,177.72889709472656
50,177.73414611816406
51,177.96604919433594
52,178.0218505859375
53,177.88076782226562
54,177.64271545410156
55,177.69696044921875
56,179.54454040527344
57,177.1588134765625
58,177.47850036621094
59,177.6208953857422
60,177.25088500976562
61,177.33120727539062
62,177.01522827148438
63,177.7211456298828
64,178.4916229248047
65,177.50662231445312
66,177.8588104248047
67,177.8126678466797
68,177.6675567626953
69,177.7198028564453
70,178.2823944091797
71,177.446044921875
72,177.63980102539062
73,178.00863647460938
74,177.411865234375
75,177.52989196777344
76,177.13165283203125
77,177.62278747558594
78,178.889404296875
79,177.83999633789062
80,177.0914306640625
81,177.693115234375
82,177.37242126464844
83,177.68850708007812
84,177.06863403320312
85,177.1898193359375
86,177.29795837402344
87,177.54051208496094
88,177.7783660888672
89,177.7211456298828
90,177.86534118652344
91,177.32489013671875
92,177.16867065429688
93,178.13027954101562
94,177.6313934326172
95,178.057861328125
96,177.627685546875
97,177.61016845703125
98,177.7478790283203
99,177.53302001953125
