iteration,latency (ms),gpu,layer,model_type,model
88,176.5061798095703,0,moe_l1,Encoder-Decoder,DeepSpeed
89,177.41964721679688,0,moe_l1,Encoder-Decoder,DeepSpeed
90,177.11322021484375,0,moe_l1,Encoder-Decoder,DeepSpeed
91,178.23648071289062,0,moe_l1,Encoder-Decoder,DeepSpeed
92,180.65213012695312,0,moe_l1,Encoder-Decoder,DeepSpeed
93,179.39788818359375,0,moe_l1,Encoder-Decoder,DeepSpeed
94,177.0760040283203,0,moe_l1,Encoder-Decoder,DeepSpeed
95,176.6744384765625,0,moe_l1,Encoder-Decoder,DeepSpeed
96,177.26304626464844,0,moe_l1,Encoder-Decoder,DeepSpeed
97,177.29347229003906,0,moe_l1,Encoder-Decoder,DeepSpeed
98,179.10220336914062,0,moe_l1,Encoder-Decoder,DeepSpeed
99,180.9549102783203,0,moe_l1,Encoder-Decoder,DeepSpeed
0,177.60882568359375,0,moe_l11,Encoder-Decoder,DeepSpeed
1,177.0952606201172,0,moe_l11,Encoder-Decoder,DeepSpeed
2,177.32086181640625,0,moe_l11,Encoder-Decoder,DeepSpeed
3,177.151611328125,0,moe_l11,Encoder-Decoder,DeepSpeed
4,177.595458984375,0,moe_l11,Encoder-Decoder,DeepSpeed
5,177.31301879882812,0,moe_l11,Encoder-Decoder,DeepSpeed
6,177.7980194091797,0,moe_l11,Encoder-Decoder,DeepSpeed
7,177.916259765625,0,moe_l11,Encoder-Decoder,DeepSpeed
8,177.88648986816406,0,moe_l11,Encoder-Decoder,DeepSpeed
9,177.76351928710938,0,moe_l11,Encoder-Decoder,DeepSpeed
10,177.31065368652344,0,moe_l11,Encoder-Decoder,DeepSpeed
11,178.0794219970703,0,moe_l11,Encoder-Decoder,DeepSpeed
12,177.28338623046875,0,moe_l11,Encoder-Decoder,DeepSpeed
13,177.28009033203125,0,moe_l11,Encoder-Decoder,DeepSpeed
14,177.6724853515625,0,moe_l11,Encoder-Decoder,DeepSpeed
15,177.0511932373047,0,moe_l11,Encoder-Decoder,DeepSpeed
16,177.45237731933594,0,moe_l11,Encoder-Decoder,DeepSpeed
17,177.14151000976562,0,moe_l11,Encoder-Decoder,DeepSpeed
18,177.60140991210938,0,moe_l11,Encoder-Decoder,DeepSpeed
19,177.6682586669922,0,moe_l11,Encoder-Decoder,DeepSpeed
20,177.2806396484375,0,moe_l11,Encoder-Decoder,DeepSpeed
21,177.36038208007812,0,moe_l11,Encoder-Decoder,DeepSpeed
22,177.69354248046875,0,moe_l11,Encoder-Decoder,DeepSpeed
23,177.57037353515625,0,moe_l11,Encoder-Decoder,DeepSpeed
24,177.3828125,0,moe_l11,Encoder-Decoder,DeepSpeed
25,177.52627563476562,0,moe_l11,Encoder-Decoder,DeepSpeed
26,177.46246337890625,0,moe_l11,Encoder-Decoder,DeepSpeed
27,177.2686767578125,0,moe_l11,Encoder-Decoder,DeepSpeed
28,177.65065002441406,0,moe_l11,Encoder-Decoder,DeepSpeed
29,177.7382354736328,0,moe_l11,Encoder-Decoder,DeepSpeed
30,177.3892822265625,0,moe_l11,Encoder-Decoder,DeepSpeed
31,177.79344177246094,0,moe_l11,Encoder-Decoder,DeepSpeed
32,177.33555603027344,0,moe_l11,Encoder-Decoder,DeepSpeed
33,177.2860107421875,0,moe_l11,Encoder-Decoder,DeepSpeed
34,177.70687866210938,0,moe_l11,Encoder-Decoder,DeepSpeed
35,177.2665252685547,0,moe_l11,Encoder-Decoder,DeepSpeed
36,177.5278778076172,0,moe_l11,Encoder-Decoder,DeepSpeed
37,177.12911987304688,0,moe_l11,Encoder-Decoder,DeepSpeed
38,177.25584411621094,0,moe_l11,Encoder-Decoder,DeepSpeed
39,177.750244140625,0,moe_l11,Encoder-Decoder,DeepSpeed
40,177.32415771484375,0,moe_l11,Encoder-Decoder,DeepSpeed
41,177.48226928710938,0,moe_l11,Encoder-Decoder,DeepSpeed
42,177.3837432861328,0,moe_l11,Encoder-Decoder,DeepSpeed
43,177.30323791503906,0,moe_l11,Encoder-Decoder,DeepSpeed
