iteration,latency (ms),gpu,layer,model_type,model
20,177.40579223632812,3,moe_l11,Encoder-Decoder,DeepSpeed
21,177.3118133544922,3,moe_l11,Encoder-Decoder,DeepSpeed
22,177.50189208984375,3,moe_l11,Encoder-Decoder,DeepSpeed
23,177.56448364257812,3,moe_l11,Encoder-Decoder,DeepSpeed
24,177.7469482421875,3,moe_l11,Encoder-Decoder,DeepSpeed
25,177.59213256835938,3,moe_l11,Encoder-Decoder,DeepSpeed
26,177.56521606445312,3,moe_l11,Encoder-Decoder,DeepSpeed
27,177.02822875976562,3,moe_l11,Encoder-Decoder,DeepSpeed
28,177.46502685546875,3,moe_l11,Encoder-Decoder,DeepSpeed
29,177.88829040527344,3,moe_l11,Encoder-Decoder,DeepSpeed
30,177.5023651123047,3,moe_l11,Encoder-Decoder,DeepSpeed
31,177.65711975097656,3,moe_l11,Encoder-Decoder,DeepSpeed
32,177.4542694091797,3,moe_l11,Encoder-Decoder,DeepSpeed
33,177.1263427734375,3,moe_l11,Encoder-Decoder,DeepSpeed
34,177.5167999267578,3,moe_l11,Encoder-Decoder,DeepSpeed
35,177.1367645263672,3,moe_l11,Encoder-Decoder,DeepSpeed
36,177.5550994873047,3,moe_l11,Encoder-Decoder,DeepSpeed
37,177.12037658691406,3,moe_l11,Encoder-Decoder,DeepSpeed
38,177.30181884765625,3,moe_l11,Encoder-Decoder,DeepSpeed
39,177.7729034423828,3,moe_l11,Encoder-Decoder,DeepSpeed
40,177.27328491210938,3,moe_l11,Encoder-Decoder,DeepSpeed
41,177.68698120117188,3,moe_l11,Encoder-Decoder,DeepSpeed
42,177.53123474121094,3,moe_l11,Encoder-Decoder,DeepSpeed
43,177.1960906982422,3,moe_l11,Encoder-Decoder,DeepSpeed
44,177.61769104003906,3,moe_l11,Encoder-Decoder,DeepSpeed
45,177.734375,3,moe_l11,Encoder-Decoder,DeepSpeed
46,177.22962951660156,3,moe_l11,Encoder-Decoder,DeepSpeed
47,177.80963134765625,3,moe_l11,Encoder-Decoder,DeepSpeed
48,177.73175048828125,3,moe_l11,Encoder-Decoder,DeepSpeed
49,177.71702575683594,3,moe_l11,Encoder-Decoder,DeepSpeed
50,177.8182373046875,3,moe_l11,Encoder-Decoder,DeepSpeed
51,177.3376007080078,3,moe_l11,Encoder-Decoder,DeepSpeed
52,177.44224548339844,3,moe_l11,Encoder-Decoder,DeepSpeed
53,177.8104248046875,3,moe_l11,Encoder-Decoder,DeepSpeed
54,177.27481079101562,3,moe_l11,Encoder-Decoder,DeepSpeed
55,177.84906005859375,3,moe_l11,Encoder-Decoder,DeepSpeed
56,177.45359802246094,3,moe_l11,Encoder-Decoder,DeepSpeed
57,177.21603393554688,3,moe_l11,Encoder-Decoder,DeepSpeed
58,177.90975952148438,3,moe_l11,Encoder-Decoder,DeepSpeed
59,177.30233764648438,3,moe_l11,Encoder-Decoder,DeepSpeed
60,177.7241973876953,3,moe_l11,Encoder-Decoder,DeepSpeed
61,177.13404846191406,3,moe_l11,Encoder-Decoder,DeepSpeed
62,177.62538146972656,3,moe_l11,Encoder-Decoder,DeepSpeed
63,176.89292907714844,3,moe_l11,Encoder-Decoder,DeepSpeed
64,177.27052307128906,3,moe_l11,Encoder-Decoder,DeepSpeed
65,177.1919403076172,3,moe_l11,Encoder-Decoder,DeepSpeed
66,177.16709899902344,3,moe_l11,Encoder-Decoder,DeepSpeed
67,177.41952514648438,3,moe_l11,Encoder-Decoder,DeepSpeed
68,177.41299438476562,3,moe_l11,Encoder-Decoder,DeepSpeed
69,177.28195190429688,3,moe_l11,Encoder-Decoder,DeepSpeed
70,176.9449005126953,3,moe_l11,Encoder-Decoder,DeepSpeed
71,177.69171142578125,3,moe_l11,Encoder-Decoder,DeepSpeed
72,177.4839324951172,3,moe_l11,Encoder-Decoder,DeepSpeed
73,177.12168884277344,3,moe_l11,Encoder-Decoder,DeepSpeed
74,177.5145263671875,3,moe_l11,Encoder-Decoder,DeepSpeed
75,177.58018493652344,3,moe_l11,Encoder-Decoder,DeepSpeed
76,177.13702392578125,3,moe_l11,Encoder-Decoder,DeepSpeed
77,177.5715789794922,3,moe_l11,Encoder-Decoder,DeepSpeed
78,177.3502655029297,3,moe_l11,Encoder-Decoder,DeepSpeed
79,177.53875732421875,3,moe_l11,Encoder-Decoder,DeepSpeed
80,177.4523468017578,3,moe_l11,Encoder-Decoder,DeepSpeed
81,177.6176300048828,3,moe_l11,Encoder-Decoder,DeepSpeed
82,177.26048278808594,3,moe_l11,Encoder-Decoder,DeepSpeed
83,177.55453491210938,3,moe_l11,Encoder-Decoder,DeepSpeed
84,177.08493041992188,3,moe_l11,Encoder-Decoder,DeepSpeed
85,177.50384521484375,3,moe_l11,Encoder-Decoder,DeepSpeed
86,177.4720916748047,3,moe_l11,Encoder-Decoder,DeepSpeed
87,177.74159240722656,3,moe_l11,Encoder-Decoder,DeepSpeed
88,176.70848083496094,3,moe_l11,Encoder-Decoder,DeepSpeed
89,177.1189422607422,3,moe_l11,Encoder-Decoder,DeepSpeed
90,177.52146911621094,3,moe_l11,Encoder-Decoder,DeepSpeed
91,177.44639587402344,3,moe_l11,Encoder-Decoder,DeepSpeed
92,177.48057556152344,3,moe_l11,Encoder-Decoder,DeepSpeed
93,177.5975341796875,3,moe_l11,Encoder-Decoder,DeepSpeed
94,177.7855682373047,3,moe_l11,Encoder-Decoder,DeepSpeed
95,177.64822387695312,3,moe_l11,Encoder-Decoder,DeepSpeed
96,177.5045166015625,3,moe_l11,Encoder-Decoder,DeepSpeed
97,177.42880249023438,3,moe_l11,Encoder-Decoder,DeepSpeed
98,177.42294311523438,3,moe_l11,Encoder-Decoder,DeepSpeed
99,177.32461547851562,3,moe_l11,Encoder-Decoder,DeepSpeed
0,4.321631908416748,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
1,3.4068799018859863,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
2,3.5304958820343018,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
3,3.888895988464356,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
4,3.840991973876953,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
5,4.116447925567627,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
6,3.5790719985961914,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
7,3.559231996536255,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
8,3.520512104034424,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
9,3.6119680404663086,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
10,4.517983913421631,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
11,3.71398401260376,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
12,3.416703939437866,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
13,3.4651520252227783,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
14,3.320863962173462,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
15,3.269216060638428,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
16,3.1964480876922607,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
17,4.094111919403076,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
18,3.917952060699463,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
19,3.2516160011291504,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
20,3.42521595954895,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
21,3.200671911239624,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
22,3.190239906311035,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
23,3.213119983673096,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
24,3.2160959243774414,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
25,3.1533119678497314,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
26,3.1810879707336426,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
27,3.1665279865264893,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
28,3.2159039974212646,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
29,3.1855359077453613,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
30,3.335743904113769,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
31,3.1983039379119877,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
32,3.326591968536377,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
33,3.2716801166534424,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
34,3.28275203704834,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
35,3.180351972579956,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
36,3.573535919189453,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
37,3.323967933654785,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
38,3.312351942062378,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
39,3.485568046569824,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
40,3.3691840171813965,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
41,3.290656089782715,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
42,3.313024044036865,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
43,3.274303913116455,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
44,3.381472110748291,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
45,3.273024082183838,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
46,3.5848960876464844,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
47,3.342144012451172,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
48,4.135551929473877,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
49,3.419584035873413,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
50,3.4982399940490723,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
51,3.290944099426269,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
52,3.341344118118286,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
53,3.360640048980713,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
54,3.280319929122925,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
55,3.291584014892578,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
56,3.752511978149414,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
57,3.355135917663574,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
58,3.299839973449707,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
59,3.241919994354248,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
60,3.260672092437744,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
61,3.381824016571045,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
62,3.1984639167785645,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
63,3.167167901992798,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
64,3.717727899551392,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
65,3.829056024551392,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
66,3.2874879837036133,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
67,3.165055990219116,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
68,3.237600088119507,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
69,3.165440082550049,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
70,3.1686079502105717,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
71,3.2103679180145264,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
72,3.1737279891967773,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
73,3.169856071472168,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
74,3.2600960731506348,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
75,3.2608320713043213,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
76,3.1721599102020264,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
77,3.18124794960022,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
78,3.619488000869751,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
79,3.1850240230560303,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
80,3.2532479763031006,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
81,3.185120105743408,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
82,3.239903926849365,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
83,3.234879970550537,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
84,3.174207925796509,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
85,3.605664014816284,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
86,3.15993595123291,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
87,3.189023971557617,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
88,3.1782400608062744,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
89,3.3204479217529297,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
90,3.560287952423096,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
91,3.251039981842041,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
92,3.156543970108032,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
93,3.1615359783172607,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
94,3.15068793296814,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
95,3.1686079502105717,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
96,3.1723520755767822,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
97,3.178719997406006,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
98,3.750688076019287,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
99,3.744127988815308,3,moe_l11_decode,Encoder-Decoder,DeepSpeed
0,4.3205437660217285,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
1,4.186944007873535,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
2,4.728799819946289,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
3,10.050496101379396,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
4,7.39788818359375,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
5,6.261983871459961,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
6,4.5531840324401855,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
7,4.728447914123535,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
8,4.565311908721924,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
9,5.5763840675354,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
10,5.55072021484375,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
11,5.4132161140441895,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
12,4.854464054107666,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
13,5.07257604598999,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
14,4.865471839904785,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
15,3.3671679496765137,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
16,3.5451838970184326,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
17,6.837279796600342,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
18,5.1724162101745605,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
19,3.6394879817962646,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
20,3.8624000549316406,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
21,3.527519941329956,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
22,4.470943927764893,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
23,3.414592027664185,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
24,3.554496049880981,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
25,3.9258880615234375,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
26,3.437472105026245,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
27,3.821984052658081,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
28,4.050464153289795,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
29,3.587071895599365,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
30,3.926367998123169,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
31,4.2290239334106445,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
32,4.134687900543213,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
33,4.098112106323242,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
34,3.684479951858521,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
35,4.560512065887451,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
36,3.8354239463806152,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
37,4.740767955780029,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
38,3.522592067718506,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
39,4.958911895751953,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
40,4.178304195404053,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
41,3.674175977706909,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
42,4.129439830780029,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
43,4.841216087341309,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
44,4.999648094177246,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
45,3.9394240379333496,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
46,4.782559871673584,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
47,5.140223979949951,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
48,5.039455890655518,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
49,4.419007778167725,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
50,3.716320037841797,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
51,3.4967360496521,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
52,3.609375953674317,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
53,5.171999931335449,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
54,4.761536121368408,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
55,4.27843189239502,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
56,3.560512065887451,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
57,4.15561580657959,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
58,4.733856201171875,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
59,3.633023977279663,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
60,5.321792125701904,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
61,4.983295917510986,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
62,4.714079856872559,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
63,3.951071977615357,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
64,4.852831840515137,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
65,3.692320108413696,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
66,4.912960052490234,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
67,5.556511878967285,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
68,4.433472156524658,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
69,3.2889280319213867,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
70,3.642368078231812,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
71,4.12230396270752,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
72,3.523360013961792,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
73,3.6449921131134033,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
74,3.965536117553711,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
75,3.443680047988892,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
76,3.3020479679107666,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
77,3.591007947921753,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
78,3.623840093612671,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
79,3.465023994445801,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
80,4.331136226654053,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
81,4.123263835906982,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
82,3.4976959228515625,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
83,3.569375991821289,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
84,3.140768051147461,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
85,3.5072638988494877,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
86,3.349087953567505,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
87,3.6711039543151855,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
88,3.56550407409668,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
89,3.247648000717163,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
90,3.37446403503418,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
91,4.455135822296143,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
92,3.451296091079712,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
93,3.436000108718872,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
94,4.174528121948242,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
95,3.266144037246704,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
96,3.421567916870117,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
97,3.42192006111145,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
98,3.549344062805176,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
99,4.05734395980835,3,moe_l1_decode,Encoder-Decoder,DeepSpeed
0,177.46339416503906,3,moe_l3,Encoder-Decoder,DeepSpeed
1,177.4559326171875,3,moe_l3,Encoder-Decoder,DeepSpeed
2,177.46185302734375,3,moe_l3,Encoder-Decoder,DeepSpeed
3,177.68917846679688,3,moe_l3,Encoder-Decoder,DeepSpeed
4,177.2340087890625,3,moe_l3,Encoder-Decoder,DeepSpeed
5,177.5206756591797,3,moe_l3,Encoder-Decoder,DeepSpeed
6,177.44146728515625,3,moe_l3,Encoder-Decoder,DeepSpeed
7,177.35504150390625,3,moe_l3,Encoder-Decoder,DeepSpeed
8,177.39337158203125,3,moe_l3,Encoder-Decoder,DeepSpeed
9,177.7058868408203,3,moe_l3,Encoder-Decoder,DeepSpeed
10,177.61062622070312,3,moe_l3,Encoder-Decoder,DeepSpeed
11,177.53167724609375,3,moe_l3,Encoder-Decoder,DeepSpeed
12,177.2935333251953,3,moe_l3,Encoder-Decoder,DeepSpeed
13,177.4899139404297,3,moe_l3,Encoder-Decoder,DeepSpeed
14,177.4322509765625,3,moe_l3,Encoder-Decoder,DeepSpeed
15,177.3146209716797,3,moe_l3,Encoder-Decoder,DeepSpeed
16,177.26153564453125,3,moe_l3,Encoder-Decoder,DeepSpeed
17,177.57711791992188,3,moe_l3,Encoder-Decoder,DeepSpeed
18,177.52963256835938,3,moe_l3,Encoder-Decoder,DeepSpeed
19,177.2514190673828,3,moe_l3,Encoder-Decoder,DeepSpeed
20,177.11289978027344,3,moe_l3,Encoder-Decoder,DeepSpeed
21,177.51242065429688,3,moe_l3,Encoder-Decoder,DeepSpeed
22,177.38287353515625,3,moe_l3,Encoder-Decoder,DeepSpeed
23,177.22323608398438,3,moe_l3,Encoder-Decoder,DeepSpeed
24,177.46607971191406,3,moe_l3,Encoder-Decoder,DeepSpeed
25,177.53932189941406,3,moe_l3,Encoder-Decoder,DeepSpeed
26,177.52883911132812,3,moe_l3,Encoder-Decoder,DeepSpeed
27,177.56524658203125,3,moe_l3,Encoder-Decoder,DeepSpeed
28,177.6228790283203,3,moe_l3,Encoder-Decoder,DeepSpeed
29,177.4099884033203,3,moe_l3,Encoder-Decoder,DeepSpeed
30,177.31114196777344,3,moe_l3,Encoder-Decoder,DeepSpeed
31,177.3613739013672,3,moe_l3,Encoder-Decoder,DeepSpeed
32,177.29977416992188,3,moe_l3,Encoder-Decoder,DeepSpeed
33,177.8422088623047,3,moe_l3,Encoder-Decoder,DeepSpeed
34,177.4838104248047,3,moe_l3,Encoder-Decoder,DeepSpeed
35,177.36221313476562,3,moe_l3,Encoder-Decoder,DeepSpeed
36,177.3465576171875,3,moe_l3,Encoder-Decoder,DeepSpeed
37,177.93373107910156,3,moe_l3,Encoder-Decoder,DeepSpeed
38,177.6890869140625,3,moe_l3,Encoder-Decoder,DeepSpeed
39,177.72618103027344,3,moe_l3,Encoder-Decoder,DeepSpeed
40,177.4847412109375,3,moe_l3,Encoder-Decoder,DeepSpeed
41,177.2136688232422,3,moe_l3,Encoder-Decoder,DeepSpeed
42,177.47549438476562,3,moe_l3,Encoder-Decoder,DeepSpeed
43,177.6603546142578,3,moe_l3,Encoder-Decoder,DeepSpeed
44,177.22122192382812,3,moe_l3,Encoder-Decoder,DeepSpeed
45,177.7529296875,3,moe_l3,Encoder-Decoder,DeepSpeed
46,177.6049346923828,3,moe_l3,Encoder-Decoder,DeepSpeed
47,177.43484497070312,3,moe_l3,Encoder-Decoder,DeepSpeed
48,177.29580688476562,3,moe_l3,Encoder-Decoder,DeepSpeed
49,177.489501953125,3,moe_l3,Encoder-Decoder,DeepSpeed
50,177.19638061523438,3,moe_l3,Encoder-Decoder,DeepSpeed
51,177.69818115234375,3,moe_l3,Encoder-Decoder,DeepSpeed
52,177.58438110351562,3,moe_l3,Encoder-Decoder,DeepSpeed
53,177.48623657226562,3,moe_l3,Encoder-Decoder,DeepSpeed
54,177.66380310058594,3,moe_l3,Encoder-Decoder,DeepSpeed
55,177.7752685546875,3,moe_l3,Encoder-Decoder,DeepSpeed
56,177.2554168701172,3,moe_l3,Encoder-Decoder,DeepSpeed
57,177.574951171875,3,moe_l3,Encoder-Decoder,DeepSpeed
58,177.65846252441406,3,moe_l3,Encoder-Decoder,DeepSpeed
59,177.4562530517578,3,moe_l3,Encoder-Decoder,DeepSpeed
60,177.4086151123047,3,moe_l3,Encoder-Decoder,DeepSpeed
61,177.1466522216797,3,moe_l3,Encoder-Decoder,DeepSpeed
62,177.31398010253906,3,moe_l3,Encoder-Decoder,DeepSpeed
63,177.67958068847656,3,moe_l3,Encoder-Decoder,DeepSpeed
64,177.52943420410156,3,moe_l3,Encoder-Decoder,DeepSpeed
65,177.93382263183594,3,moe_l3,Encoder-Decoder,DeepSpeed
66,177.49757385253906,3,moe_l3,Encoder-Decoder,DeepSpeed
67,177.51577758789062,3,moe_l3,Encoder-Decoder,DeepSpeed
68,177.24688720703125,3,moe_l3,Encoder-Decoder,DeepSpeed
69,177.25485229492188,3,moe_l3,Encoder-Decoder,DeepSpeed
70,177.6129913330078,3,moe_l3,Encoder-Decoder,DeepSpeed
71,177.56211853027344,3,moe_l3,Encoder-Decoder,DeepSpeed
72,177.3186492919922,3,moe_l3,Encoder-Decoder,DeepSpeed
73,177.13885498046875,3,moe_l3,Encoder-Decoder,DeepSpeed
74,177.4246368408203,3,moe_l3,Encoder-Decoder,DeepSpeed
75,177.41619873046875,3,moe_l3,Encoder-Decoder,DeepSpeed
76,177.4771270751953,3,moe_l3,Encoder-Decoder,DeepSpeed
77,177.6775360107422,3,moe_l3,Encoder-Decoder,DeepSpeed
78,177.4215087890625,3,moe_l3,Encoder-Decoder,DeepSpeed
79,177.4179229736328,3,moe_l3,Encoder-Decoder,DeepSpeed
80,177.8456268310547,3,moe_l3,Encoder-Decoder,DeepSpeed
81,177.2943115234375,3,moe_l3,Encoder-Decoder,DeepSpeed
82,177.60362243652344,3,moe_l3,Encoder-Decoder,DeepSpeed
83,177.42335510253906,3,moe_l3,Encoder-Decoder,DeepSpeed
84,177.47325134277344,3,moe_l3,Encoder-Decoder,DeepSpeed
85,177.498779296875,3,moe_l3,Encoder-Decoder,DeepSpeed
86,177.2689208984375,3,moe_l3,Encoder-Decoder,DeepSpeed
87,177.13722229003906,3,moe_l3,Encoder-Decoder,DeepSpeed
88,176.7051239013672,3,moe_l3,Encoder-Decoder,DeepSpeed
89,177.2176055908203,3,moe_l3,Encoder-Decoder,DeepSpeed
