iteration,latency (ms),total number of bytes sent,total number of bytes recv,Before Metadata and 1st Data,Metadata and 1st Data,Before 2nd Data,2nd Data,After 2nd Data
0,28.89151954650879,4609536,3073536,7.885439872741699,0.9585919976234436,11.942784309387207,0.5513920187950134,7.214208126068115
1,29.46668815612793,4609536,3073536,8.046815872192383,0.5412160158157349,12.740544319152832,0.5542719960212708,7.243423938751221
2,29.140575408935547,4609536,3073536,7.928736209869385,0.6733440160751343,12.37177562713623,0.5764480233192444,7.255936145782471
3,29.9902400970459,4609536,3073536,8.109919548034668,0.41071999073028564,13.371040344238281,0.22659200429916382,7.518655776977539
4,29.829280853271484,4609536,3073536,8.11302375793457,0.4312320053577423,13.19164752960205,0.22675199806690216,7.523200035095215
5,29.848255157470703,4609536,3073536,8.125727653503418,0.41171199083328247,13.109151840209961,0.3792319893836975,7.482560157775879
6,30.64672088623047,4609536,3073536,8.094079971313477,1.4482879638671875,12.906304359436035,0.36111998558044434,7.489664077758789
7,30.165056228637695,4609536,3073536,8.179488182067871,0.42899200320243835,13.129599571228027,0.5809599757194519,7.509791851043701
8,33.13404846191406,4609536,3073536,9.25318431854248,0.6218879818916321,15.205216407775879,0.23494400084018707,7.387616157531738
9,31.305280685424805,4609536,3073536,7.959807872772217,0.5680320262908936,13.97152042388916,0.3624640107154846,7.559199810028076
10,29.345632553100586,4609536,3073536,8.074336051940918,0.4119679927825928,12.819071769714355,0.219200000166893,7.479360103607178
11,29.796287536621094,4609536,3073536,7.954559803009033,1.155295968055725,12.779135704040527,0.31536000967025757,7.255040168762207
12,30.424095153808594,4609536,3073536,8.044896125793457,0.4175040125846863,13.85200023651123,0.3843519985675812,7.388512134552002
13,30.215391159057617,4609536,3073536,8.014687538146973,0.4382080137729645,13.778752326965332,0.25648000836372375,7.328864097595215
14,29.257503509521484,4609536,3073536,7.93452787399292,0.5971519947052002,12.690079689025879,0.3717760145664215,7.320032119750977
15,29.11801528930664,4609536,3073536,7.837728023529053,0.8091840147972107,12.456352233886719,0.44582399725914,7.232480049133301
16,29.467744827270508,4609536,3073536,7.902239799499512,0.6756479740142822,12.614848136901855,0.6218559741973877,7.3145599365234375
17,30.807199478149414,4609536,3073536,9.250144004821777,0.5058559775352478,13.133024215698242,0.22204799950122833,7.336287975311279
