iteration,Latency (s)
0,1.173607587814331
1,1.1692774295806885
2,1.1683995723724365
3,1.1751434803009033
4,1.1635875701904297
5,1.169196605682373
6,1.170701503753662
7,1.1669468879699707
8,1.173537254333496
9,1.1666529178619385
10,1.1693370342254639
11,1.166942834854126
12,1.1673521995544434
13,1.1662018299102783
14,1.1666979789733887
15,1.1674809455871582
16,1.1663250923156738
17,1.16446852684021
18,1.1684610843658447
19,1.171684741973877
20,1.1660780906677246
21,1.1638679504394531
22,1.1676864624023438
23,1.166903018951416
24,1.1709377765655518
25,1.165982961654663
26,1.1671142578125
27,1.1642780303955078
28,1.1641404628753662
29,1.167776107788086
30,1.1679599285125732
31,1.164660930633545
32,1.1676280498504639
33,1.1670608520507812
34,1.164339542388916
35,1.1647059917449951
36,1.1652123928070068
37,1.1654610633850098
38,1.1675286293029785
39,1.165088415145874
40,1.1647491455078125
41,1.1653614044189453
42,1.165456771850586
43,1.166574239730835
44,1.1654093265533447
45,1.1686604022979736
46,1.1649267673492432
47,1.1644904613494873
48,1.1657907962799072
49,1.16414213180542
50,1.1652772426605225
51,1.16469407081604
52,1.165034532546997
53,1.1648294925689697
54,1.1662461757659912
55,1.1685163974761963
56,1.1648166179656982
57,1.1645238399505615
58,1.1644353866577148
59,1.1655616760253906
60,1.1648895740509033
61,1.1650640964508057
62,1.1662585735321045
63,1.165998935699463
64,1.1653938293457031
65,1.167525053024292
66,1.1688053607940674
67,1.1672110557556152
68,1.1678051948547363
69,1.1664156913757324
70,1.1660184860229492
71,1.1667439937591553
72,1.1640000343322754
73,1.1664865016937256
74,1.1645712852478027
75,1.1644902229309082
76,1.1663579940795898
77,1.165541172027588
78,1.1655418872833252
79,1.1635675430297852
80,1.1650114059448242
81,1.166057825088501
82,1.1661326885223389
83,1.1651580333709717
84,1.165565013885498
85,1.165013313293457
86,1.1665005683898926
87,1.163450002670288
88,1.1641335487365723
89,1.1643829345703125
90,1.1645774841308594
91,1.16410493850708
92,1.1635944843292236
93,1.1645054817199707
94,1.1626346111297607
95,1.1651129722595215
96,1.1664652824401855
97,1.168135166168213
98,1.1665050983428955
99,1.167332410812378
