iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,5.13040018081665,4608096,3072096
1,3.732800006866455,4608096,3072096
2,11.515711784362793,4608096,3072096
3,8.624863624572754,4608096,3072096
4,3.7567360401153564,4608096,3072096
5,4.007999897003174,4608096,3072096
6,3.7977919578552246,4608096,3072096
7,3.993760108947754,4608096,3072096
8,3.7646079063415527,4608096,3072096
9,3.885727882385254,4608096,3072096
10,3.7386560440063477,4608096,3072096
11,4.995391845703125,4608096,3072096
12,3.834559917449951,4608096,3072096
13,3.6903679370880127,4608096,3072096
14,4.778495788574219,4608096,3072096
15,3.806879997253418,4608096,3072096
16,4.171616077423096,4608096,3072096
17,3.7084479331970215,4608096,3072096
18,3.741215944290161,4608096,3072096
19,3.607935905456543,4608096,3072096
20,3.763711929321289,4608096,3072096
21,5.536704063415527,4608096,3072096
22,4.9009599685668945,4608096,3072096
23,3.7750720977783203,4608096,3072096
24,8.123744010925293,4608096,3072096
25,3.7371840476989746,4608096,3072096
26,3.9527359008789062,4608096,3072096
27,6.98140811920166,4608096,3072096
28,3.682784080505371,4608096,3072096
29,3.7385919094085693,4608096,3072096
30,3.924191951751709,4608096,3072096
31,3.7900800704956055,4608096,3072096
32,3.9863040447235107,4608096,3072096
33,5.845280170440674,4608096,3072096
34,3.7589120864868164,4608096,3072096
35,3.7162559032440186,4608096,3072096
36,3.803231954574585,4608096,3072096
37,4.059807777404785,4608096,3072096
38,3.7547519207000732,4608096,3072096
39,3.7289600372314453,4608096,3072096
40,3.71996808052063,4608096,3072096
41,3.828671932220459,4608096,3072096
42,4.102176189422607,4608096,3072096
43,3.727776050567627,4608096,3072096
44,3.739392042160034,4608096,3072096
45,3.7319679260253906,4608096,3072096
46,3.6772799491882324,4608096,3072096
47,3.771359920501709,4608096,3072096
48,3.868288040161133,4608096,3072096
49,3.696928024291992,4608096,3072096
50,3.703968048095703,4608096,3072096
51,3.641887903213501,4608096,3072096
52,3.7035839557647705,4608096,3072096
53,3.7083520889282227,4608096,3072096
54,3.74182391166687,4608096,3072096
55,3.8045759201049805,4608096,3072096
56,3.7147200107574463,4608096,3072096
57,3.7725119590759277,4608096,3072096
58,4.922272205352783,4608096,3072096
59,3.918720006942749,4608096,3072096
60,3.79420804977417,4608096,3072096
61,3.7338879108428955,4608096,3072096
62,3.848896026611328,4608096,3072096
63,3.675168037414551,4608096,3072096
64,5.942751884460449,4608096,3072096
65,3.759488105773926,4608096,3072096
66,3.803999900817871,4608096,3072096
67,3.715167999267578,4608096,3072096
68,3.683487892150879,4608096,3072096
69,3.885983943939209,4608096,3072096
70,4.227615833282471,4608096,3072096
71,3.6764800548553467,4608096,3072096
72,3.816351890563965,4608096,3072096
73,3.8601279258728027,4608096,3072096
74,3.7596800327301025,4608096,3072096
75,3.752415895462036,4608096,3072096
76,3.792095899581909,4608096,3072096
77,3.7755520343780518,4608096,3072096
78,3.7616000175476074,4608096,3072096
79,3.871040105819702,4608096,3072096
80,3.7013440132141113,4608096,3072096
81,3.778559923171997,4608096,3072096
82,4.292543888092041,4608096,3072096
83,3.7753920555114746,4608096,3072096
84,3.80947208404541,4608096,3072096
85,3.706048011779785,4608096,3072096
86,3.8547520637512207,4608096,3072096
87,3.9161601066589355,4608096,3072096
88,3.763904094696045,4608096,3072096
89,4.463520050048828,4608096,3072096
90,4.950463771820068,4608096,3072096
91,3.823551893234253,4608096,3072096
92,4.0662078857421875,4608096,3072096
93,4.672544002532959,4608096,3072096
94,3.732095956802368,4608096,3072096
95,3.6688640117645264,4608096,3072096
96,3.833280086517334,4608096,3072096
97,3.970304012298584,4608096,3072096
98,3.7073280811309814,4608096,3072096
99,3.7406399250030518,4608096,3072096
