iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,14.3820161819458,4608384,3072384
1,13.707391738891602,4608384,3072384
2,11.955103874206543,4608384,3072384
3,10.86070442199707,4608384,3072384
4,11.301919937133789,4608384,3072384
5,15.564543724060059,4608384,3072384
6,11.726048469543457,4608384,3072384
7,10.784640312194824,4608384,3072384
8,11.066847801208496,4608384,3072384
9,11.32975959777832,4608384,3072384
10,10.729632377624512,4608384,3072384
11,11.092960357666016,4608384,3072384
12,15.065471649169922,4608384,3072384
13,10.428352355957031,4608384,3072384
14,10.653663635253906,4608384,3072384
15,10.845215797424316,4608384,3072384
16,11.059295654296875,4608384,3072384
17,11.110272407531738,4608384,3072384
18,11.691200256347656,4608384,3072384
19,11.016544342041016,4608384,3072384
20,11.030976295471191,4608384,3072384
21,11.409855842590332,4608384,3072384
22,10.952832221984863,4608384,3072384
23,10.86736011505127,4608384,3072384
24,10.301952362060547,4608384,3072384
25,11.011967658996582,4608384,3072384
26,11.31935977935791,4608384,3072384
27,10.859711647033691,4608384,3072384
28,13.602879524230957,4608384,3072384
29,10.95644760131836,4608384,3072384
30,12.676480293273926,4608384,3072384
31,12.588735580444336,4608384,3072384
32,28.220544815063477,4608384,3072384
33,24.740896224975586,4608384,3072384
34,10.779808044433594,4608384,3072384
35,17.271743774414062,4608384,3072384
36,10.969280242919922,4608384,3072384
37,17.347200393676758,4608384,3072384
38,10.970239639282227,4608384,3072384
39,15.154239654541016,4608384,3072384
40,11.48857593536377,4608384,3072384
41,14.327199935913086,4608384,3072384
42,10.46339225769043,4608384,3072384
43,10.380352020263672,4608384,3072384
44,11.542559623718262,4608384,3072384
45,10.955424308776855,4608384,3072384
46,10.788703918457031,4608384,3072384
47,15.334015846252441,4608384,3072384
48,10.899552345275879,4608384,3072384
49,13.454208374023438,4608384,3072384
50,10.482208251953125,4608384,3072384
51,10.747967720031738,4608384,3072384
52,10.971872329711914,4608384,3072384
53,10.732064247131348,4608384,3072384
54,10.618335723876953,4608384,3072384
55,10.895936012268066,4608384,3072384
56,10.447680473327637,4608384,3072384
57,10.962271690368652,4608384,3072384
58,12.911392211914062,4608384,3072384
59,11.310815811157227,4608384,3072384
60,10.862848281860352,4608384,3072384
61,10.679295539855957,4608384,3072384
62,11.111104011535645,4608384,3072384
63,17.050495147705078,4608384,3072384
64,11.330656051635742,4608384,3072384
65,11.237504005432129,4608384,3072384
66,11.415648460388184,4608384,3072384
67,11.419839859008789,4608384,3072384
68,12.163616180419922,4608384,3072384
69,14.545056343078613,4608384,3072384
70,11.838624000549316,4608384,3072384
71,10.649279594421387,4608384,3072384
72,12.536128044128418,4608384,3072384
73,11.632800102233887,4608384,3072384
74,11.02892780303955,4608384,3072384
75,12.350239753723145,4608384,3072384
76,12.26915168762207,4608384,3072384
77,10.680704116821289,4608384,3072384
78,10.63036823272705,4608384,3072384
79,10.894240379333496,4608384,3072384
80,10.786239624023438,4608384,3072384
81,14.660799980163574,4608384,3072384
82,10.929023742675781,4608384,3072384
83,10.975104331970215,4608384,3072384
84,10.56777572631836,4608384,3072384
85,10.786975860595703,4608384,3072384
86,10.827103614807129,4608384,3072384
87,10.847488403320312,4608384,3072384
88,10.850879669189453,4608384,3072384
89,10.976832389831543,4608384,3072384
90,10.518815994262695,4608384,3072384
91,10.881664276123047,4608384,3072384
92,10.979616165161133,4608384,3072384
93,10.943039894104004,4608384,3072384
94,10.919136047363281,4608384,3072384
95,10.955552101135254,4608384,3072384
96,10.89452838897705,4608384,3072384
97,10.727231979370117,4608384,3072384
98,10.855936050415039,4608384,3072384
99,10.852255821228027,4608384,3072384
