iteration,latency (ms)
0,315.0563659667969
1,313.8511962890625
2,314.1440734863281
3,314.4189758300781
4,314.3103332519531
5,314.4034118652344
6,314.77325439453125
7,314.2039794921875
8,314.4610900878906
9,314.87652587890625
10,314.375244140625
11,314.3670349121094
12,314.0001220703125
13,314.5353698730469
14,313.8985900878906
15,314.32159423828125
16,314.560791015625
17,314.2284240722656
18,314.40618896484375
19,314.3831481933594
20,314.2938537597656
21,314.18096923828125
22,314.5654296875
23,314.4839782714844
24,314.45416259765625
25,314.4078063964844
26,314.1759948730469
27,313.6484680175781
28,313.415771484375
29,314.6676330566406
30,313.94195556640625
31,314.38067626953125
32,314.6937561035156
33,314.27191162109375
34,313.9295654296875
35,314.4479064941406
36,314.0740051269531
37,314.1994934082031
38,314.44256591796875
39,314.41455078125
40,314.6437072753906
41,314.3586120605469
42,314.857666015625
43,314.1954345703125
44,313.83416748046875
45,314.65435791015625
46,314.74188232421875
47,314.33929443359375
48,314.7173767089844
49,313.733642578125
50,314.1552734375
51,313.8558654785156
52,314.34039306640625
53,314.1261291503906
54,314.72003173828125
55,314.3922424316406
56,314.7247009277344
57,314.14990234375
58,314.0751953125
59,314.28582763671875
60,314.49200439453125
61,314.1049499511719
62,314.55523681640625
63,314.45263671875
64,313.9928894042969
65,314.1801452636719
66,313.99249267578125
67,314.4966735839844
68,314.7748718261719
69,314.7162170410156
70,314.03411865234375
71,314.34259033203125
72,314.7463073730469
73,314.2029113769531
74,314.95574951171875
75,313.9637756347656
76,314.2879943847656
77,314.2136535644531
78,314.7106628417969
79,314.3261413574219
80,314.15338134765625
81,314.8472900390625
82,314.1977844238281
83,314.22149658203125
84,313.8177795410156
85,314.2623596191406
86,314.6315612792969
87,314.3516845703125
88,314.23193359375
89,314.4407043457031
90,314.48162841796875
91,314.7395324707031
92,314.3070068359375
93,314.4546813964844
94,314.5819396972656
95,313.4280700683594
96,314.8957824707031
97,314.44287109375
98,314.3142395019531
99,314.6422424316406
