iteration,latency (ms)
0,314.5981750488281
1,313.70050048828125
2,314.3763732910156
3,315.03961181640625
4,314.2821044921875
5,314.4375915527344
6,314.31268310546875
7,314.25567626953125
8,313.9219055175781
9,313.65032958984375
10,313.6054992675781
11,314.4960021972656
12,313.9435119628906
13,313.801025390625
14,313.6711120605469
15,313.7909851074219
16,313.6299743652344
17,314.0835266113281
18,313.95513916015625
19,314.3095397949219
20,314.47894287109375
21,314.1929931640625
22,314.11322021484375
23,314.2194519042969
24,314.3466796875
25,314.12530517578125
26,314.0944519042969
27,314.7353210449219
28,314.3275146484375
29,314.2088623046875
30,313.7965087890625
31,314.115966796875
32,314.359130859375
33,313.8395690917969
34,314.1394958496094
35,313.6910705566406
36,314.4136962890625
37,313.9329833984375
38,314.85882568359375
39,314.21356201171875
40,314.1075134277344
41,314.09930419921875
42,314.1360168457031
43,314.6797180175781
44,314.14849853515625
45,314.268310546875
46,314.97100830078125
47,314.87664794921875
48,314.3916015625
49,314.68194580078125
50,314.4082946777344
51,314.3744812011719
52,314.32147216796875
53,314.41290283203125
54,313.92034912109375
55,314.8309020996094
56,314.4605712890625
57,314.3781433105469
58,314.7253112792969
59,314.29510498046875
60,314.38665771484375
61,314.3257141113281
62,314.02923583984375
63,315.0440673828125
64,313.84210205078125
65,314.5292053222656
66,314.671630859375
67,314.4657897949219
68,314.4041748046875
69,313.96533203125
70,314.266357421875
71,314.19451904296875
72,314.3201599121094
73,313.71795654296875
74,314.43548583984375
75,313.9956359863281
76,314.4226379394531
77,313.9519958496094
78,314.18719482421875
79,314.6617736816406
80,314.2619323730469
81,313.99371337890625
82,314.4296569824219
83,315.2531433105469
84,313.85992431640625
85,314.2875061035156
86,314.4178466796875
87,314.9620056152344
88,314.2227478027344
89,314.2764892578125
90,314.34893798828125
91,314.28118896484375
92,315.2095031738281
93,315.023193359375
94,314.1545715332031
95,314.3908996582031
96,314.5911560058594
97,314.3970031738281
98,314.2132568359375
99,314.35662841796875
