iteration,latency (ms)
0,5.265535831451416
1,4.813536167144775
2,5.185088157653809
3,4.5293121337890625
4,5.603839874267578
5,5.325407981872559
6,4.664095878601074
7,5.137311935424805
8,4.347936153411865
9,5.337344169616699
10,4.783360004425049
11,4.524735927581787
12,5.261343955993652
13,4.741375923156738
14,7.8291521072387695
15,4.704671859741211
16,4.934463977813721
17,5.376319885253906
18,7.08131217956543
19,6.51475191116333
20,5.475456237792969
21,7.916895866394043
22,5.206719875335693
23,5.636928081512451
24,6.9552321434021
25,5.5971198081970215
26,5.539328098297119
27,5.409952163696289
28,4.883840084075928
29,4.779871940612793
30,5.019040107727051
31,5.642303943634033
32,4.868095874786377
33,4.789696216583252
34,4.582592010498047
35,5.592127799987793
36,5.250304222106934
37,5.261695861816406
38,5.732416152954102
39,5.034336090087891
40,4.35968017578125
41,4.562335968017578
42,4.667903900146484
43,5.95849609375
44,5.459839820861816
45,6.18668794631958
46,5.940512180328369
47,12.125920295715332
48,10.361727714538574
49,6.729695796966553
50,5.682496070861816
51,5.687168121337891
52,5.414944171905518
53,6.119584083557129
54,5.991968154907227
55,5.65772819519043
56,5.6333441734313965
57,4.5463361740112305
58,9.175392150878906
59,5.308896064758301
60,6.739935874938965
61,4.588160037994385
62,4.746143817901611
63,6.927008152008057
64,6.110015869140625
65,5.83465576171875
66,4.698815822601318
67,5.255743980407715
68,5.169119834899902
69,5.645023822784424
70,5.131999969482422
71,4.521952152252197
72,5.018303871154785
73,4.90444803237915
74,5.99513578414917
75,4.497439861297607
76,6.225887775421143
77,7.9464640617370605
78,5.641503810882568
79,4.7284159660339355
80,5.368127822875977
81,5.084447860717773
82,5.292928218841553
83,5.106624126434326
84,5.385503768920898
85,5.013855934143066
86,5.586304187774658
87,4.712863922119141
88,5.2560319900512695
89,5.1211838722229
90,5.0065598487854
91,5.025055885314941
92,5.069727897644043
93,4.8928961753845215
94,5.0766401290893555
95,5.322751998901367
96,5.033599853515625
97,5.10038423538208
98,5.040192127227783
99,4.386240005493164
