iteration,latency (ms)
0,313.82293701171875
1,314.4849548339844
2,315.1302490234375
3,313.95953369140625
4,314.6378479003906
5,314.373046875
6,313.63787841796875
7,314.7383728027344
8,314.2411804199219
9,314.8189697265625
10,314.6244201660156
11,314.44805908203125
12,314.52081298828125
13,314.42608642578125
14,314.5354919433594
15,314.22662353515625
16,314.0774230957031
17,314.62384033203125
18,313.90191650390625
19,314.77667236328125
20,314.02191162109375
21,313.9381103515625
22,314.3176574707031
23,314.5321350097656
24,314.5823974609375
25,313.8680419921875
26,314.2122802734375
27,314.1557312011719
28,314.34857177734375
29,313.64996337890625
30,314.0928955078125
31,314.423583984375
32,314.0274658203125
33,314.572265625
34,314.5409851074219
35,314.0577087402344
36,314.54693603515625
37,313.7889099121094
38,314.5703430175781
39,313.7837219238281
40,313.9388122558594
41,314.4244384765625
42,314.12677001953125
43,314.5692138671875
44,314.3984375
45,314.3450622558594
46,313.38287353515625
47,314.75665283203125
48,314.2751159667969
49,314.32501220703125
50,314.4957580566406
51,314.5155029296875
52,314.51019287109375
53,314.59857177734375
54,314.5158996582031
55,314.88238525390625
56,314.69659423828125
57,314.6471862792969
58,314.19366455078125
59,314.60498046875
60,314.50665283203125
61,314.15924072265625
62,314.76422119140625
63,314.3839416503906
64,314.4056091308594
65,313.9043884277344
66,314.3076477050781
67,313.9116516113281
68,313.80963134765625
69,314.4560852050781
70,314.00860595703125
71,314.48443603515625
72,314.23876953125
73,314.593994140625
74,314.0159606933594
75,314.1542663574219
76,314.36505126953125
77,314.48175048828125
78,315.1216125488281
79,314.47113037109375
80,314.34423828125
81,314.4857482910156
82,314.6697692871094
83,314.69000244140625
84,314.4925842285156
85,314.5863037109375
86,314.4497985839844
87,314.24798583984375
88,314.2662353515625
89,314.71063232421875
90,314.0367431640625
91,314.6393127441406
92,313.63818359375
93,314.58612060546875
94,314.71661376953125
95,314.2569274902344
96,314.2997131347656
97,314.0627136230469
98,314.0512390136719
99,314.6045227050781
