iteration,Latency (s)
0,0.7937359809875488
1,0.7699921131134033
2,0.7744362354278564
3,0.7697689533233643
4,0.7729976177215576
5,0.7709131240844727
6,0.7705583572387695
7,0.7710680961608887
8,0.7697176933288574
9,0.7711076736450195
10,0.7707173824310303
11,0.7706429958343506
12,0.7712769508361816
13,0.769723653793335
14,0.7704377174377441
15,0.769949197769165
16,0.770392894744873
17,0.7721085548400879
18,0.7712490558624268
19,0.770470142364502
20,0.7704343795776367
21,0.7696666717529297
22,0.7710685729980469
23,0.7719359397888184
24,0.7706704139709473
25,0.7715396881103516
26,0.7704758644104004
27,0.769834041595459
28,0.7695930004119873
29,0.7704341411590576
30,0.7720210552215576
31,0.7708158493041992
32,0.7705402374267578
33,0.7708537578582764
34,0.7705504894256592
35,0.7699058055877686
36,0.7714500427246094
37,0.7704339027404785
38,0.7708203792572021
39,0.770261287689209
40,0.7696225643157959
41,0.7707431316375732
42,0.7695803642272949
43,0.77101731300354
44,0.7704262733459473
45,0.7709505558013916
46,0.7704031467437744
47,0.7704682350158691
48,0.7709593772888184
49,0.7711145877838135
50,0.7698757648468018
51,0.7700726985931396
52,0.7696754932403564
53,0.7711596488952637
54,0.7698154449462891
55,0.7699470520019531
56,0.7698726654052734
57,0.771888256072998
58,0.770275354385376
59,0.7705814838409424
60,0.7701427936553955
61,0.7706010341644287
62,0.7713384628295898
63,0.7720069885253906
64,0.772104024887085
65,0.7736465930938721
66,0.7727358341217041
67,0.7714283466339111
68,0.7703359127044678
69,0.7703597545623779
70,0.7700767517089844
71,0.7704970836639404
72,0.7706766128540039
73,0.7692642211914062
74,0.7705466747283936
75,0.7698173522949219
76,0.770397424697876
77,0.7702343463897705
78,0.7837729454040527
79,0.7700695991516113
80,0.7707560062408447
81,0.7704613208770752
82,0.7701973915100098
83,0.7702329158782959
84,0.7701704502105713
85,0.7700302600860596
86,0.7706005573272705
87,0.7703342437744141
88,0.7705583572387695
89,0.7706067562103271
90,0.770233154296875
91,0.7708132266998291
92,0.7701821327209473
93,0.770500659942627
94,0.7704529762268066
95,0.7710740566253662
96,0.7702560424804688
97,0.771188497543335
98,0.7707066535949707
99,0.7695834636688232
